Kód;Szegedre ingázás
"3165";"3"
"2959";"3"
"1365";"3"
"2593";"3"
"1245";"3"
"2481";"3"
"410";"3"
"2264";"3"
"2638";"3"
"3255";"3"
"835";"3"
"1816";"3"
"741";"3"
"2253";"3"
"995";"3"
"1604";"3"
"1767";"3"
"3045";"3"
"2602";"3"
"2918";"3"
"2091";"3"
"2917";"3"
"3076";"3"
"486";"3"
"3194";"3"
"1434";"3"
"3180";"3"
"1763";"3"
"1998";"3"
"1815";"3"
"3038";"3"
"2822";"3"
"1066";"3"
"2834";"3"
"1176";"3"
"1205";"4"
"2327";"4"
"2045";"4"
"1861";"4"
"3098";"4"
"1405";"4"
"2364";"4"
"3345";"4"
"2558";"4"
"409";"4"
"2275";"4"
"3157";"4"
"1366";"4"
"2591";"4"
"2813";"4"
"740";"4"
"2276";"4"
"2895";"4"
"1454";"4"
"2731";"4"
"3122";"4"
"2787";"5"
"1569";"5"
"2299";"5"
"2111";"5"
"346";"5"
"1028";"5"
"3032";"5"
"1720";"5"
"270";"5"
"2387";"5"
"2188";"5"
"235";"5"
"2403";"6"
"1225";"6"
"951";"6"
"837";"6"
"1544";"6"
"3062";"6"
"1515";"6"
"1619";"7"
"2335";"7"
"2506";"7"
"1513";"8"
"2049";"8"
"2790";"8"
"1543";"8"
"2124";"8"
"1482";"8"
"2042";"8"
"1906";"9"
"783";"9"
"1978";"9"
"426";"10"
"1277";"10"
"628";"10"
"1637";"11"
"644";"11"
"2757";"11"
"2670";"12"
"1962";"12"
"1723";"12"
"934";"13"
"1941";"13"
"946";"14"
"2618";"15"
"2848";"15"
"1380";"16"
"3250";"16"
"824";"16"
"2590";"16"
"1971";"17"
"1226";"17"
"2815";"18"
"976";"20"
"2785";"21"
"1810";"23"
"1134";"23"
"2573";"24"
"3248";"25"
"1071";"26"
"503";"27"
"596";"28"
"1187";"31"
"537";"34"
"3228";"34"
"1601";"34"
"3107";"37"
"352";"38"
"2229";"39"
"1643";"47"
"1425";"49"
"1202";"54"
"921";"58"
"2859";"63"
"1051";"68"
"1520";"71"
"635";"77"
"511";"79"
"3053";"82"
"2439";"89"
"2029";"91"
"825";"92"
"1279";"96"
"3243";"100"
"1899";"107"
"2668";"110"
"2910";"120"
"2155";"129"
"2306";"138"
"1445";"147"
"396";"209"
"3302";"223"
"2367";"253"
"1357";"264"
"554";"287"
"2666";"314"
"1441";"355"
"2141";"355"
"1033";"369"
"1696";"411"
"3102";"423"
"1492";"423"
"819";"504"
"1316";"548"
"434";"557"
"1776";"640"
"735";"753"
"2407";"830"
"1200";"904"
"3424";"952"
"1338";"975"
"831";"1250"
"3170";"1646"